roman,titreLabel,date_de_publication,nombre_de_pages,authorLabel
http://www.wikidata.org/entity/Q3829973,,1996-01-01T00:00:00Z,,Henry Roth
http://www.wikidata.org/entity/Q3835812,,2011-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q3840634,,2001-01-01T00:00:00Z,,Ben Pastor
http://www.wikidata.org/entity/Q3845822,,1931-01-01T00:00:00Z,,Emilio Lussu
http://www.wikidata.org/entity/Q3857983,,2005-01-01T00:00:00Z,,Manuel Vázquez Montalbán
http://www.wikidata.org/entity/Q3857984,,2004-01-01T00:00:00Z,,Manuel Vázquez Montalbán
http://www.wikidata.org/entity/Q3858324,,2000-01-01T00:00:00Z,,Luciana Littizzetto
http://www.wikidata.org/entity/Q3874388,,2003-01-01T00:00:00Z,,Geronimo Stilton
http://www.wikidata.org/entity/Q3874388,,2003-01-01T00:00:00Z,,Elisabetta Dami
http://www.wikidata.org/entity/Q3878628,,1966-01-01T00:00:00Z,,Carmelo Bene
http://www.wikidata.org/entity/Q3911398,,2000-01-01T00:00:00Z,,Barbara Nadel
http://www.wikidata.org/entity/Q3927901,,1997-01-01T00:00:00Z,,Manuel Vázquez Montalbán
http://www.wikidata.org/entity/Q3934011,,2010-01-01T00:00:00Z,,Valerio Evangelisti
http://www.wikidata.org/entity/Q3937920,,2006-01-01T00:00:00Z,,Luciana Littizzetto
http://www.wikidata.org/entity/Q3944332,,1993-01-01T00:00:00Z,,Manuel Vázquez Montalbán
http://www.wikidata.org/entity/Q3955842,,2006-01-01T00:00:00Z,,Giuliano Dego
http://www.wikidata.org/entity/Q3958237,,2010-01-01T00:00:00Z,,Geronimo Stilton
http://www.wikidata.org/entity/Q3958237,,2010-01-01T00:00:00Z,,Elisabetta Dami
http://www.wikidata.org/entity/Q4003934,,2001-01-01T00:00:00Z,,Massimo Siviero
http://www.wikidata.org/entity/Q4008000,,2011-01-01T00:00:00Z,,Vito Bruschini
http://www.wikidata.org/entity/Q4010968,,2011-01-01T00:00:00Z,,Elisabetta Dami
http://www.wikidata.org/entity/Q4089055,,,,Valentin Pikul'
http://www.wikidata.org/entity/Q4315242,,1983-01-01T00:00:00Z,,Sergueï Dovlatov
http://www.wikidata.org/entity/Q4342490,,,,Pär Lagerkvist
http://www.wikidata.org/entity/Q4528063,,1925-01-01T00:00:00Z,,Arkadi Avérchenko
http://www.wikidata.org/entity/Q4659888,,,,Vikram Seth
http://www.wikidata.org/entity/Q4660767,A Woman of the Iron People,1991-04-01T00:00:00Z,,Eleanor Arnason
http://www.wikidata.org/entity/Q4807961,,2004-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q4820283,,2008-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q4820294,,2009-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q4820637,,2007-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q4820673,,2005-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q4820682,,2005-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q4822053,,1962-01-01T00:00:00Z,,Carlos Fuentes
http://www.wikidata.org/entity/Q5391840,Ensimmäinen murhani,1993-01-01T00:00:00Z,,Leena Lehtolainen
http://www.wikidata.org/entity/Q104848497,,,,Leslie Poles Hartley
http://www.wikidata.org/entity/Q104869294,The Fall of the Families,1987-01-01T00:00:00Z,,Phillip Mann
http://www.wikidata.org/entity/Q104873927,,2020-01-01T00:00:00Z,,Jonathan Coe
http://www.wikidata.org/entity/Q105086176,Paradise City,2020-06-01T00:00:00Z,,Zoë Beck
http://www.wikidata.org/entity/Q105317094,,1968-01-01T00:00:00Z,,Kornelius von Vacano
http://www.wikidata.org/entity/Q105616648,Song for Mumu,1967-01-01T00:00:00Z,,Lindsay Barrett
http://www.wikidata.org/entity/Q105886912,,1996-01-01T00:00:00Z,,Joan Francesc Mira
