roman,titreLabel,authorLabel
http://www.wikidata.org/entity/Q4822053,,Carlos Fuentes
http://www.wikidata.org/entity/Q5391840,Ensimmäinen murhani,Leena Lehtolainen
http://www.wikidata.org/entity/Q6533708,,
http://www.wikidata.org/entity/Q7065918,,Jim Thompson
http://www.wikidata.org/entity/Q7261426,Purple Hibiscus,Chimamanda Ngozi Adichie
http://www.wikidata.org/entity/Q7572055,Sozaboy: A Novel in Rotten English,Ken Saro-Wiwa
http://www.wikidata.org/entity/Q7637499,,Herman Raucher
http://www.wikidata.org/entity/Q7723033,,Lindsay Clarke
http://www.wikidata.org/entity/Q7727308,The Concubine,Elechi Amadi
http://www.wikidata.org/entity/Q7736237,,Jim Thompson
http://www.wikidata.org/entity/Q7753070,The namesake,Jhumpa Lahiri
http://www.wikidata.org/entity/Q7835565,Trapeze,Simon Mawer
http://www.wikidata.org/entity/Q7835565,Girl who fell from the sky,Simon Mawer
http://www.wikidata.org/entity/Q9206982,,
http://www.wikidata.org/entity/Q9311913,Rojsty,Tadeusz Konwicki
http://www.wikidata.org/entity/Q9346461,Straszny dziadunio,Maria Rodziewiczówna
http://www.wikidata.org/entity/Q10259894,,Zhao Shuli
http://www.wikidata.org/entity/Q10395654,,Clarice Lispector
http://www.wikidata.org/entity/Q10478677,,
http://www.wikidata.org/entity/Q10499461,,Anna Lytsy
http://www.wikidata.org/entity/Q10535499,Ingen tobak inget halleluja,Eric Lundqvist
http://www.wikidata.org/entity/Q10783080,,Nhật Ánh Nguyêñ
http://www.wikidata.org/entity/Q10826671,,Lựu Lê
http://www.wikidata.org/entity/Q10841378,,Đoàn Giỏi
http://www.wikidata.org/entity/Q11079025,故园,Yi Shu
http://www.wikidata.org/entity/Q11188334,,Makoto Kawashima
http://www.wikidata.org/entity/Q11288935,,Tetsuya Honda
http://www.wikidata.org/entity/Q11289565,,Kiyoshi Shigematsu
http://www.wikidata.org/entity/Q11291268,,Tadashi Hirose
http://www.wikidata.org/entity/Q11323521,,Katsuhiko Takahashi
http://www.wikidata.org/entity/Q11353977,,Seishi Yokomizo
http://www.wikidata.org/entity/Q11544647,,Kenzō Kitakata
http://www.wikidata.org/entity/Q11630100,,Paul Lindsay
http://www.wikidata.org/entity/Q11639216,,Seishi Yokomizo
http://www.wikidata.org/entity/Q11677847,,Edogawa Ranpo
http://www.wikidata.org/entity/Q11748410,,Eugeniusz Dębski
http://www.wikidata.org/entity/Q11751698,Kwiat kalafiora,Małgorzata Musierowicz
http://www.wikidata.org/entity/Q11864126,How to Kill a Bull,Anna-Leena Härkönen
http://www.wikidata.org/entity/Q11864126,Häräntappoase,Anna-Leena Härkönen
http://www.wikidata.org/entity/Q11870626,,Jukka Parkkinen
http://www.wikidata.org/entity/Q11873234,Kukunor,Lauri Viita
http://www.wikidata.org/entity/Q11884881,,Hilja Valtonen
http://www.wikidata.org/entity/Q11911004,,Maria Mercè Roca i Perich
http://www.wikidata.org/entity/Q11968424,,Erik Fosnes Hansen
http://www.wikidata.org/entity/Q11999188,,Erik Fosnes Hansen
http://www.wikidata.org/entity/Q12096071,,Mykola Trublaini
http://www.wikidata.org/entity/Q12103196,,Viktor Platonovytch Petrov
http://www.wikidata.org/entity/Q12191551,القوقعة: يوميات متلصص,Moustafa Khalifé
